Intercept,treat,Female,SC013,SC034
0.0497419,0.001375596,0.000648418,0.00714868,0.006734265
0.001375596,0.099129095,-0.005615955,0.001380219,-0.00663693
0.000648418,-0.005615955,0.008940925,-0.000221252,0.00142475
0.00714868,0.001380219,-0.000221252,0.003605092,-0.0000067
0.006734265,-0.00663693,0.00142475,-0.0000067,0.005578464
